time,step-size,{Environment}.EnvironmentInstance.eP,{Environment}.EnvironmentInstance.sTime,{ShowOutput}.ShowOutputInstance.dummy
0.0,0.0,0.0,0.0,0
0.1,0.1,8.333333333333332,18.0,0
0.2,0.1,12.5,36.0,0
0.30000000000000004,0.1,16.666666666666664,54.0,0
0.4,0.1,19.791666666666664,72.0,0
0.5,0.1,23.958333333333336,90.0,0
0.6,0.1,28.125,108.0,0
0.7,0.1,32.29166666666667,126.0,0
0.7999999999999999,0.1,35.41666666666667,144.0,0
0.8999999999999999,0.1,38.54166666666667,162.0,0
0.9999999999999999,0.1,42.70833333333333,180.0,0
1.0999999999999999,0.1,43.75,198.0,0
1.2,0.1,44.79166666666667,216.0,0
1.3,0.1,45.83333333333333,234.0,0
1.4000000000000001,0.1,46.875,252.0,0
1.5000000000000002,0.1,50.0,270.0,0
1.6000000000000003,0.1,52.083333333333336,288.0,0
1.7000000000000004,0.1,54.166666666666664,306.0,0
1.8000000000000005,0.1,55.208333333333336,324.0,0
1.9000000000000006,0.1,57.291666666666664,342.0,0
2.0000000000000004,0.1,60.416666666666664,360.0,0
2.1000000000000005,0.1,63.541666666666664,378.0,0
2.2000000000000006,0.1,65.625,396.0,0
2.3000000000000007,0.1,67.70833333333334,414.0,0
2.400000000000001,0.1,68.75,432.0,0
2.500000000000001,0.1,70.83333333333334,450.0,0
2.600000000000001,0.1,72.91666666666666,468.0,0
2.700000000000001,0.1,75.0,486.0,0
2.800000000000001,0.1,78.125,504.0,0
2.9000000000000012,0.1,81.25,522.0,0
3.0000000000000013,0.1,81.25,540.0,0
3.1000000000000014,0.1,81.25,558.0,0
3.2000000000000015,0.1,81.25,576.0,0
3.3000000000000016,0.1,81.25,594.0,0
3.4000000000000017,0.1,82.29166666666666,612.0,0
3.5000000000000018,0.1,83.33333333333334,630.0,0
3.600000000000002,0.1,85.41666666666666,648.0,0
3.700000000000002,0.1,86.45833333333334,666.0,0
3.800000000000002,0.1,88.54166666666666,684.0,0
3.900000000000002,0.1,90.625,702.0,0
4.000000000000002,0.1,90.625,720.0,0
4.100000000000001,0.1,91.66666666666666,738.0,0
4.200000000000001,0.1,92.70833333333334,756.0,0
4.300000000000001,0.1,94.79166666666666,774.0,0
4.4,0.1,95.83333333333334,792.0,0
4.5,0.1,95.83333333333334,810.0,0
4.6,0.1,95.83333333333334,828.0,0
4.699999999999999,0.1,96.875,846.0,0
4.799999999999999,0.1,97.91666666666666,864.0,0
4.899999999999999,0.1,98.95833333333334,882.0,0
4.999999999999998,0.1,98.95833333333334,900.0,0
5.099999999999998,0.1,98.95833333333334,918.0,0
5.1999999999999975,0.1,98.95833333333334,936.0,0
5.299999999999997,0.1,98.95833333333334,954.0,0
5.399999999999997,0.1,98.95833333333334,972.0,0
5.4999999999999964,0.1,98.95833333333334,990.0,0
5.599999999999996,0.1,98.95833333333334,1008.0,0
5.699999999999996,0.1,98.95833333333334,1026.0,0
5.799999999999995,0.1,98.95833333333334,1044.0,0
5.899999999999995,0.1,98.95833333333334,1062.0,0
5.999999999999995,0.1,98.95833333333334,1080.0,0
6.099999999999994,0.1,98.95833333333334,1098.0,0
6.199999999999994,0.1,98.95833333333334,1116.0,0
6.299999999999994,0.1,98.95833333333334,1134.0,0
6.399999999999993,0.1,98.95833333333334,1152.0,0
6.499999999999993,0.1,98.95833333333334,1170.0,0
6.5999999999999925,0.1,98.95833333333334,1188.0,0
6.699999999999992,0.1,98.95833333333334,1206.0,0
6.799999999999992,0.1,98.95833333333334,1224.0,0
6.8999999999999915,0.1,98.95833333333334,1242.0,0
6.999999999999991,0.1,98.95833333333334,1260.0,0
7.099999999999991,0.1,98.95833333333334,1278.0,0
7.19999999999999,0.1,98.95833333333334,1296.0,0
7.29999999999999,0.1,98.95833333333334,1314.0,0
7.39999999999999,0.1,98.95833333333334,1332.0,0
7.499999999999989,0.1,98.95833333333334,1350.0,0
7.599999999999989,0.1,98.95833333333334,1368.0,0
7.699999999999989,0.1,98.95833333333334,1386.0,0
7.799999999999988,0.1,98.95833333333334,1404.0,0
7.899999999999988,0.1,98.95833333333334,1422.0,0
7.999999999999988,0.1,98.95833333333334,1440.0,0
8.099999999999987,0.1,98.95833333333334,1458.0,0
8.199999999999987,0.1,98.95833333333334,1476.0,0
8.299999999999986,0.1,98.95833333333334,1494.0,0
8.399999999999986,0.1,98.95833333333334,1512.0,0
8.499999999999986,0.1,98.95833333333334,1530.0,0
8.599999999999985,0.1,98.95833333333334,1548.0,0
8.699999999999985,0.1,98.95833333333334,1566.0,0
8.799999999999985,0.1,98.95833333333334,1584.0,0
8.899999999999984,0.1,98.95833333333334,1602.0,0
8.999999999999984,0.1,98.95833333333334,1620.0,0
9.099999999999984,0.1,98.95833333333334,1638.0,0
9.199999999999983,0.1,98.95833333333334,1656.0,0
9.299999999999983,0.1,98.95833333333334,1674.0,0
9.399999999999983,0.1,98.95833333333334,1692.0,0
9.499999999999982,0.1,98.95833333333334,1710.0,0
9.599999999999982,0.1,98.95833333333334,1728.0,0
9.699999999999982,0.1,98.95833333333334,1746.0,0
9.799999999999981,0.1,98.95833333333334,1764.0,0
9.89999999999998,0.1,100.0,1782.0,0
9.99999999999998,0.1,100.0,1782.0,0
10.09999999999998,0.1,100.0,1782.0,0
10.19999999999998,0.1,100.0,1782.0,0
10.29999999999998,0.1,100.0,1782.0,0
10.399999999999979,0.1,100.0,1782.0,0
10.499999999999979,0.1,100.0,1782.0,0
10.599999999999978,0.1,100.0,1782.0,0
10.699999999999978,0.1,100.0,1782.0,0
