time,step-size,{Environment}.EnvironmentInstance.eP,{Environment}.EnvironmentInstance.sTime,{ShowOutput}.ShowOutputInstance.dummy
0.0,0.0,0.0,0.0,0
1.0,1.0,8.333333333333332,20.0,0
2.0,1.0,12.5,40.0,0
3.0,1.0,16.666666666666664,60.0,0
4.0,1.0,20.833333333333336,80.0,0
5.0,1.0,25.0,100.0,0
6.0,1.0,29.166666666666668,120.0,0
7.0,1.0,33.33333333333333,140.0,0
8.0,1.0,35.41666666666667,160.0,0
9.0,1.0,39.58333333333333,180.0,0
10.0,1.0,42.70833333333333,200.0,0
11.0,1.0,44.79166666666667,220.0,0
12.0,1.0,46.875,240.0,0
13.0,1.0,48.95833333333333,260.0,0
14.0,1.0,53.125,280.0,0
15.0,1.0,55.208333333333336,300.0,0
16.0,1.0,56.25,320.0,0
17.0,1.0,58.333333333333336,340.0,0
18.0,1.0,61.458333333333336,360.0,0
19.0,1.0,64.58333333333334,380.0,0
